imdb_id	title	runtime_mins	primary_genre	directors	writers	casts
9106452	Full Circle	94	Drama	nm3119906	nm3119906	nm0060990,nm1173868,nm8147903,nm10181372
9106672	Als Hitler das rosa Kaninchen stahl	119	Family	nm0512862	nm0117697,nm1709313,nm0512862	nm8528150,nm6279295,nm3231562,nm0557908
9109006	My Stepfather's Secret	84	Crime	nm0006395	nm0529169	nm0000522,nm0565858,nm3823813,nm1146857
9109278	Vampz!	76	Comedy	nm5132191	nm5132309,nm5131973	nm5133091,nm5132565,nm5132175,nm9250464
9109490	Emma	80	Adventure	nm1349718	nm5572916	nm10182791,nm10134000,nm8072657,nm0251158
9109492	American Woman	85	Drama	nm0155069	nm0155069,nm3220117	nm2186865,nm0000995,nm0190931,nm0300589
9109794	Kolaigaran	109	Action	nm3063751	\N	nm0663967,nm2537099,nm9110951,nm9504284,nm0621937,nm0035018
9109906	Mahira	129	Action	nm10182950	\N	nm8833077,nm10182951,nm9109380,nm10182952,nm5798465,nm0735212
9110380	Konttho	144	Drama	nm1425585,nm5181252	\N	nm4428541,nm3368637,nm3354068,nm1425585,nm0784002
9110556	Il giorno più bello del mondo	95	Comedy	nm2293779	nm2622274,nm2293779	nm2293779,nm5312098,nm0261164,nm10151273
9110902	Queen Marie of Romania	110	Drama	nm0128636,nm0238186	nm0030727,nm0128636,nm0238186,nm10183434,nm10183396	nm5404849,nm2088951,nm0253355,nm0238644
9112776	Victor et Célia	91	Comedy	nm0427136	nm1548615,nm0406990,nm0427136	nm1570563,nm3902885,nm1327729,nm3757235
9113332	Revenge of the Pontianak	92	Horror	nm0324380,nm1312283	nm0324380,nm1312283	nm1967211,nm2879092,nm9228484,nm5489719
9114098	Pólvora en el corazón	87	Drama	nm3813123	nm3813123	nm11159713,nm11159714
9114656	ism	100	Drama	nm1424693	nm1424693,nm2348225,nm5756907	nm4367180,nm4699930,nm2160156,nm11264306
9116234	The Worry Doll	111	Crime	nm5272026	nm5272026	nm7844948,nm3235840,nm8252907,nm10185877
9116358	Promare: Puromea	111	Action	nm0408043	nm0620040,nm5476638	nm0072829,nm0089710,nm0097765,nm0153100
9118092	Easy Love	89	Biography	nm5280658	nm5280658	nm10488001,nm10488002,nm10488003,nm10488004
9120048	Barbie's Kenny	89	Drama	nm0792610	nm0792610	nm0412399,nm6631655,nm3584900,nm4767517
9120416	Alice	103	Comedy	nm2563164	nm2563164	nm4451784,nm2953208,nm3880909,nm10611942
9120712	Hyper Dark	57	Drama	nm3778064	nm3778064	nm7566491,nm2276305,nm3778064,nm9285488
9120786	Erika 38	104	Crime	nm2500035	nm2500035	nm0008393,nm7042739,nm0038273,nm10187045
9121954	Ikar. Legenda Mietka Kosza	110	Biography	nm1450964	nm1450964	nm4221607,nm10187647,nm0010611,nm5798496
9124044	The Arctic Camels	75	Adventure	nm8212921	\N	nm10390888,nm10390887,nm10390886,nm10390885
9125380	A Promise To Astrid	88	Drama	nm5101650,nm7429538	nm5101650,nm10188982	nm0001002,nm8854819,nm2785996,nm5082358
9125466	Dakota	87	Comedy	nm5382289	nm5382289	nm2845468,nm9423996,nm3288888,nm10646672
9126050	Gekijô-ban: Rike-koi - rikei ga koi ni ochita no de shômei shite mita.	85	Comedy	nm1121258,nm3432005	nm0411693,nm10200604,nm6119057	nm5620807,nm6160675,nm10200601,nm7545300
